id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
2318,Casa Madrona - Urban Oasis 1 block from the park!,2536,Megan,Central Area,Madrona,47.61082,-122.29082,Entire home/apt,296,5,27,2019-06-18,0.20,2,327
5682,"Cozy Studio, min. to downtown -WiFi",8993,Maddy,Delridge,South Delridge,47.52398,-122.35989,Entire home/apt,48,3,462,2018-11-24,4.03,1,0
6606,"Fab, private seattle urban cottage!",14942,Joyce,Other neighborhoods,Wallingford,47.65411,-122.33761,Entire home/apt,90,2,145,2019-08-15,1.18,3,73
9419,Glorious sun room w/ memory foambed,30559,Angielena,Other neighborhoods,Georgetown,47.55062,-122.32014,Private room,62,2,140,2019-07-24,1.27,8,351
9460,Downtown Convention Center B&B -- Free Minibar,30832,Siena,Downtown,First Hill,47.61265,-122.32936,Private room,99,3,437,2019-08-04,3.60,4,73
9531,The Adorable Sweet Orange Craftsman,31481,Cassie,West Seattle,Fairmount Park,47.55539,-122.38474,Entire home/apt,165,2,36,2019-01-01,0.39,2,345
9534,The Coolest Tangerine Dream MIL! ,31481,Cassie,West Seattle,Fairmount Park,47.55624,-122.38598,Entire home/apt,125,2,42,2019-07-06,0.45,2,345
9596,"the down home , spacious, central and fab!",14942,Joyce,Other neighborhoods,Wallingford,47.65479,-122.33652,Entire home/apt,120,2,87,2019-08-11,0.87,3,35
9909,Luna Park House - West Seattle,33360,Laura,West Seattle,Fairmount Park,47.56521,-122.37375,Entire home/apt,125,4,69,2019-07-11,0.58,7,91
10209,Stay here for a blast!!!!,31553,Mike & Cassandra,Delridge,High Point,47.55365,-122.36326,Private room,50,5,38,2019-05-16,0.32,4,314
11012,"the orange house, quiet 'n central",14942,Joyce,Other neighborhoods,Wallingford,47.65448,-122.33646,Entire home/apt,299,2,88,2019-08-11,0.76,3,170
14386,Quiet Cozy Upstairs BR Green Lake,39377,Bob,Other neighborhoods,Green Lake,47.68725,-122.3347,Private room,40,1,141,2019-06-28,1.28,3,300
15108,Green Lake Private Ground Floor BR,39377,Bob,Other neighborhoods,Green Lake,47.68827,-122.33586,Private room,60,1,71,2019-03-31,0.72,3,291
15749,Green Lake guest room with active family,61636,Angela,Other neighborhoods,Green Lake,47.68407,-122.32649,Private room,32,24,19,2019-07-29,0.20,2,77
17229,Stay here for a blast 2,31553,Mike & Cassandra,Delridge,High Point,47.55162,-122.36443,Private room,50,5,23,2019-08-01,0.23,4,2
17951,"West Seattle, The Starlight Studio",33360,Laura,West Seattle,Fairmount Park,47.55538,-122.38622,Entire home/apt,105,2,111,2019-08-13,0.99,7,76
19619,Lively Vacation Home in Seattle with Puget Sound Views,74305,Seattle Oasis,Downtown,Belltown,47.61362,-122.34706,Entire home/apt,145,2,99,2019-08-03,0.91,53,90
20927,Cottage in the Heart of Ballard,79450,Brad / Liz,Ballard,Adams,47.67334,-122.39512,Entire home/apt,89,2,550,2019-08-16,4.95,2,109
20928,Victorian in the Heart of Ballard,79450,Brad / Liz,Ballard,Adams,47.67361,-122.3938,Entire home/apt,79,2,316,2019-08-10,6.18,2,95
23192,Large Modern Unit - 3 blocks from the light-rail,90437,Ian,Capitol Hill,Broadway,47.62237,-122.31592,Entire home/apt,200,3,117,2019-08-07,1.55,4,2
24212,Stylish Oasis in a Prime Location in Belltown,74305,Seattle Oasis,Downtown,Belltown,47.6154,-122.34866,Entire home/apt,157,1,85,2019-08-07,0.79,53,120
25002,"Beautiful, Private Spot in Quiet Ballard",102684,Amanda,Ballard,Whittier Heights,47.67941,-122.37054,Entire home/apt,70,2,747,2019-08-13,6.58,1,121
26116,2-bedroom Capitol Hill Pied-à-terre,110248,Jamilah,Capitol Hill,Broadway,47.61743,-122.32676,Entire home/apt,259,2,143,2016-09-24,1.32,1,0
26795,Lake Union Cottage - Shore and Cityview,114228,Kelly,Cascade,Eastlake,47.63953,-122.32838,Entire home/apt,165,3,62,2019-08-02,0.57,1,364
30712,Cozy Ballard Apartment,107605,Al,Ballard,Loyal Heights,47.6789,-122.38186,Entire home/apt,64,3,110,2019-06-18,0.99,1,324
41401,Home Away From Home - MIL Suite    ,180441,Pina,Beacon Hill,Mid-Beacon Hill,47.56035,-122.31402,Entire home/apt,95,10,28,2017-05-06,0.26,1,108
43373,Big sunny central house with view!,189356,Michael,Other neighborhoods,Wallingford,47.65055,-122.33059,Private room,55,2,260,2019-08-12,2.37,1,323
47491,Tranquil Rooms at Maple Creek House,215230,Carol,Other neighborhoods,Wedgwood,47.69246,-122.28688,Private room,50,30,46,2019-05-12,0.42,4,152
48848,green suite seattle - dog friendly,212404,Piper + Kent,Other neighborhoods,Windermere,47.67159,-122.25995,Entire home/apt,110,2,42,2019-06-30,0.39,2,306
52525,Maple Creek House in Wedgwood,215230,Carol,Other neighborhoods,Wedgwood,47.6927,-122.28548,Private room,45,3,30,2018-12-27,0.28,4,328
58503,Spacious Private Daylight Basement Apartment,157262,Gus & Chelsea,Other neighborhoods,Phinney Ridge,47.67947,-122.3566,Entire home/apt,75,2,242,2019-08-14,4.06,1,334
63733,Seattle- Ballard Guestsuite -,311363,Irmgard,Ballard,West Woodland,47.67171,-122.36589,Entire home/apt,76,3,232,2019-08-12,2.29,1,306
66540,Large Tranquil Room in Wedgwood,215230,Carol,Other neighborhoods,Wedgwood,47.69421,-122.28625,Private room,50,3,26,2019-06-09,0.25,4,143
66611,Study Den in Tranquil Setting,215230,Carol,Other neighborhoods,Wedgwood,47.69282,-122.28534,Private room,45,3,28,2019-07-30,0.27,4,323
67270,"Light and airy, steps to the Lake.",331573,Jean,Seward Park,Seward Park,47.56168,-122.27212,Private room,70,2,186,2019-08-16,1.81,1,0
68508,180º View Private One-Bedroom W/Open Junior Suite,340192,Angela,Capitol Hill,Broadway,47.63813,-122.32148,Entire home/apt,249,30,0,,,3,44
77149,Central quiet Capitol Hill condo,412854,Goldie,Capitol Hill,Broadway,47.62585,-122.32004,Entire home/apt,110,5,15,2016-09-24,0.15,1,0
84271,Upper Floor Master Suite in Capitol Hill Home,460561,Elizabeth,Capitol Hill,Stevens,47.62434,-122.3037,Private room,250,2,1,2019-07-07,0.70,1,72
86185,West Seattle: Admiral calm & quiet,192355,Jane,West Seattle,North Admiral,47.58239,-122.39448,Private room,75,2,71,2019-07-15,0.70,1,342
107884,West Seattle/Alki Beach House,331494,Anne,West Seattle,North Admiral,47.58,-122.40204,Entire home/apt,92,2,151,2019-08-16,1.50,1,248
107962,Haller Lake Restored Log Cabin,112093,Roberta & Dan,Northgate,Haller Lake,47.71489,-122.33296,Entire home/apt,120,2,227,2019-06-05,2.29,1,117
108765,Beacon Hill Cottage in the City,541908,Mary,Beacon Hill,Mid-Beacon Hill,47.55257,-122.30435,Entire home/apt,130,2,59,2019-06-14,0.59,1,346
116221,"Modern, Light-Filled Fremont Flat",587302,Danni,Other neighborhoods,Fremont,47.65437,-122.35745,Entire home/apt,120,30,52,2019-05-11,0.52,1,0
117165,Suite+Office in Gorgeous View Home,559827,Judith,West Seattle,Alki,47.56874,-122.40649,Private room,150,2,132,2019-07-30,1.35,2,352
119103,Teeny Tiny Guestyhouse!,601600,Hal,Other neighborhoods,Fremont,47.65231,-122.35,Entire home/apt,79,3,379,2019-08-14,3.81,2,331
132120,Mother-in-Law Apartment in Seattle,378445,Ralph,Other neighborhoods,Wallingford,47.66923,-122.33517,Entire home/apt,110,2,109,2019-08-03,1.10,1,298
132160,"Green Lake Guest Suite, private apt",558743,Natalie,Other neighborhoods,Green Lake,47.68226,-122.34345,Entire home/apt,150,3,270,2019-08-12,2.76,2,165
134091,Vintage Capitol Hill - 1 Pkg Spot,658155,Joe,Capitol Hill,Broadway,47.62142,-122.31642,Entire home/apt,170,7,172,2019-08-11,1.77,14,99
136480,Bright Cheery Room in Seattle House,539515,Shari,Seward Park,Seward Park,47.55508,-122.26455,Private room,85,2,80,2019-07-12,1.08,2,331
140331,Metrobilly Retreat,683617,Jana,Central Area,Harrison/Denny-Blaine,47.61894,-122.29212,Private room,75,1,145,2019-07-27,1.46,1,324
143580,N. Beacon Hill- Super Private Room,594315,Jana,Beacon Hill,North Beacon Hill,47.58379,-122.31677,Private room,89,2,371,2019-08-15,3.74,1,314
143704,"Private 1BR, Parking, Eco-Cleaned, 5% to Charity",696788,Julie,Central Area,Mann,47.61231,-122.29825,Entire home/apt,68,3,372,2019-08-12,3.75,1,329
151545,Seattle 2.5 BR w Amazing Water Views | BlueStarBnB,306615,Tara,Capitol Hill,Portage Bay,47.65008,-122.31931,Entire home/apt,229,2,31,2019-08-13,0.31,3,146
158345,Restful Room in W. Ballard-NO cleaning fee!,759949,Marcia,Ballard,Sunset Hill,47.66992,-122.40146,Private room,60,2,442,2019-08-05,4.51,1,327
170273,Stroll to Stunning Views from a Historic Home,804996,Nadine,Queen Anne,Lower Queen Anne,47.62767,-122.35861,Entire home/apt,750,2,235,2019-08-14,2.39,1,315
175576,Private Apartment - Queen Anne Hill,239585,Ray & Eileen,Queen Anne,West Queen Anne,47.63548,-122.35848,Entire home/apt,85,2,279,2018-10-29,2.84,1,0
186328,"Beautiful Update Craftsman 3BR, 3BA",895223,Andrew,Queen Anne,North Queen Anne,47.64413,-122.3563,Entire home/apt,250,3,1,2013-11-08,0.01,1,0
190984,Home in Hillman City - large studio & free parking,923095,Denise,Rainier Valley,Columbia City,47.55284,-122.27789,Entire home/apt,80,2,155,2019-08-11,2.42,2,3
192666,"Classy,Private, Comfy! W Seattle-A Place To Relax!",933468,Vidya,West Seattle,North Admiral,47.58216,-122.39387,Private room,59,1,94,2019-07-27,2.26,2,63
193836,Spacious Suite Near Lincoln Park in West Seattle,583579,Amy,West Seattle,Gatewood,47.5357,-122.38631,Entire home/apt,89,1,182,2019-08-05,1.87,1,87
202251,Seattle Phinney Ridge Ballard,601266,Tim And Pam,Other neighborhoods,Phinney Ridge,47.6777,-122.35984,Entire home/apt,245,28,24,2019-07-23,0.39,1,349
202260,Cozy Seattle Apartment Near UW & Children's,990195,Kerry,Other neighborhoods,View Ridge,47.68004,-122.28398,Entire home/apt,99,30,143,2016-08-01,1.47,1,0
208670,2BR/1BA Quiet Capitol Hill Bungalow w/Loft,1022302,David,Capitol Hill,Broadway,47.62163,-122.31693,Entire home/apt,212,2,131,2017-08-31,1.43,1,0
210316,"""THE 5-STAR HOUSE""  # 9",2438665,Flor,Other neighborhoods,Crown Hill,47.6999,-122.36614,Private room,95,3,70,2019-08-04,1.11,4,272
215882,Relaxing Garden Cottage w/ Hot Tub!,971336,Julie,Rainier Valley,Columbia City,47.5613,-122.28122,Entire home/apt,80,2,361,2019-08-13,3.81,1,41
217142,LOCATION! Family SPACIOUS 2BD/2BA PRKG FREE WiFi,8243075,Lori,Downtown,Belltown,47.61534,-122.34791,Entire home/apt,200,2,153,2019-08-02,1.61,4,263
218741,"Private, Large Room+Bath in Ballard",468703,Corinne & Tom,Ballard,Loyal Heights,47.68231,-122.37875,Private room,90,1,131,2018-08-18,1.50,2,162
219532,"Fun home in Funky Fremont, Seattle",1037115,Rose And Glen,Other neighborhoods,Fremont,47.65692,-122.36093,Entire home/apt,275,3,86,2019-08-12,0.97,6,83
224763,"Location! Sleeps 4 WiFi  Luxurious, Parking Inc!",8243075,Lori,Downtown,Belltown,47.61386,-122.34879,Entire home/apt,139,1,101,2019-08-02,1.10,4,304
226495,"Fun apartment in Ballard, Seattle",1037115,Rose And Glen,Ballard,Whittier Heights,47.68966,-122.36839,Entire home/apt,170,3,90,2019-08-11,1.01,6,130
226536,Serene Room in Sunny Cottage near Discovery Park,209571,Cheryl,Magnolia,Lawton Park,47.6612,-122.40145,Private room,46,1,186,2019-08-13,1.97,2,340
226677,Sunny Parisian beauty room w/ comfy bed,30559,Angielena,Other neighborhoods,Georgetown,47.54969,-122.31868,Private room,55,2,143,2019-07-26,1.51,8,343
229990,Alki Beach 1/2 block to beach,1201633,Wayne,West Seattle,Alki,47.57823,-122.41181,Entire home/apt,160,1,7,2019-07-08,0.50,1,310
231097,Peaceful NE Seattle guest room,990692,Paul,Lake City,Matthews Beach,47.70639,-122.28075,Private room,54,3,155,2019-08-11,1.62,1,327
233502,West Seattle room with private bath,1215564,Danielle,West Seattle,North Admiral,47.57327,-122.37436,Private room,60,1,1,2012-06-06,0.01,1,229
241016,Scandinavian Queen Anne Home,956883,Maija,Queen Anne,North Queen Anne,47.64329,-122.37582,Entire home/apt,215,2,106,2019-07-12,1.53,3,331
241032,Stylish Queen Anne Apartment,956883,Maija,Queen Anne,West Queen Anne,47.63629,-122.37103,Entire home/apt,165,3,292,2019-07-26,3.08,3,301
243885,Charming Urban Garden Bungalow,1279637,Melody And Justin,Other neighborhoods,Wallingford,47.67058,-122.32363,Entire home/apt,125,7,4,2018-07-06,0.04,1,15
251922,"Sleepy North Admiral, West Seattle",512084,Edwin,West Seattle,North Admiral,47.58143,-122.39411,Entire home/apt,78,1,232,2019-08-15,2.45,1,330
254340,Phinney Oasis-Ballard/Phinney,1336214,Kim,Other neighborhoods,Phinney Ridge,47.67717,-122.36169,Entire home/apt,85,30,157,2019-08-12,1.68,1,164
260613,Modern & New MIL Apt. in N. Ballard,1387754,Monika,Ballard,Whittier Heights,47.68649,-122.36846,Entire home/apt,100,1,51,2019-08-15,0.56,1,349
261912,"Storybook Tudor, house at GreenLake",558743,Natalie,Other neighborhoods,Green Lake,47.68378,-122.34201,Entire home/apt,200,4,31,2019-01-02,0.35,2,26
270370,"NorthBeach, fantastic water view",1309213,Audrey&Benoit,Other neighborhoods,North Beach/Blue Ridge,47.69818,-122.3871,Entire home/apt,195,2,0,,,1,0
271509,Belltown Condo-Close to Pike Place-OPEN 8/16,74305,Seattle Oasis,Downtown,Belltown,47.61578,-122.34872,Entire home/apt,144,2,71,2019-07-19,0.84,53,126
277416,Near Space Needle! Sunny 1 bd/1 ba WiFi CLEAN Prkg,8243075,Lori,Downtown,Belltown,47.61607,-122.34668,Entire home/apt,139,2,117,2019-08-01,1.25,4,298
278830,"Charming Craftsman house in Queen Anne, Seattle",1452570,Emily,Queen Anne,West Queen Anne,47.63292,-122.37247,Entire home/apt,375,2,71,2019-07-26,0.82,3,181
279209,Beautiful Light Filled Cottage in Central Ballard,601384,Eva,Ballard,Loyal Heights,47.68123,-122.37971,Entire home/apt,150,2,2,2016-06-26,0.05,1,0
281208,"Luxury, Location, Great For Family",658155,Joe,Central Area,Atlantic,47.5938,-122.30515,Entire home/apt,229,7,164,2019-08-15,1.80,14,109
281789,11th Avenue Inn Bed and Breakfast,31509,David,Capitol Hill,Broadway,47.61988,-122.31961,Private room,99,1,53,2019-02-20,0.58,6,0
284087,The Nest in the Heart of the City,721070,Suzanne,Downtown,First Hill,47.61148,-122.32912,Entire home/apt,235,3,186,2019-08-16,2.04,1,320
286080,2 Bed 2 Bath  Downtown Seattle Walk to Pike Place,74305,Seattle Oasis,Downtown,Belltown,47.61523,-122.34703,Entire home/apt,182,2,95,2019-08-01,1.02,53,88
299817,Cap Hill Mountain/Lake View Oasis,1545026,Anna,Capitol Hill,Stevens,47.62388,-122.30133,Entire home/apt,125,7,45,2019-08-12,0.61,1,365
301059,Belltown Condo with Water View OPEN 9/2-6,74305,Seattle Oasis,Downtown,Belltown,47.61497,-122.34855,Entire home/apt,94,2,56,2019-07-13,0.62,53,104
303277,Hip Condo Private Deck East Lake Union - Long Term,1204187,Kara,Cascade,Eastlake,47.64481,-122.32429,Entire home/apt,120,30,10,2019-08-11,0.11,2,365
311790,Eastlake Union-Fantastic Location,1204187,Kara,Cascade,Eastlake,47.64642,-122.32495,Private room,50,1,4,2019-04-03,0.05,2,0
317248,Historic Seattle Home Designed for Modern Living,658155,Joe,Capitol Hill,Broadway,47.62336,-122.31668,Entire home/apt,240,7,177,2019-08-15,2.03,14,75
319768,Family Friendly Modern Seattle Home,1577903,Jen,Central Area,Atlantic,47.59583,-122.29788,Entire home/apt,135,5,5,2013-12-28,0.06,1,0
338091,"spacious, great location w view",1717589,Jen,Capitol Hill,Broadway,47.61897,-122.32421,Entire home/apt,165,1,117,2018-12-27,1.31,3,365
340706,Charming Wallingford Apartment,1015653,David,Other neighborhoods,Wallingford,47.65588,-122.33214,Entire home/apt,90,2,184,2019-06-18,2.03,1,191
341454,"Cool 2BR Flat w/Private Balcony, City Views",1732181,William,Central Area,Minor,47.61038,-122.31157,Entire home/apt,175,30,54,2019-08-14,1.27,3,72
353039,St. John's Apt. 300 *Walkscore 99*,1787819,Bryce,Downtown,First Hill,47.61367,-122.32203,Entire home/apt,155,30,52,2019-07-13,0.60,6,340
353110,West Seattle Backyard Vacation Cottage,1788284,Eric,West Seattle,North Admiral,47.58003,-122.39025,Entire home/apt,107,4,70,2019-01-03,0.78,1,229
353347,VACATION HOUSE WEST SEATTLE - Close to Beach,791459,Western Vacation Rentals,West Seattle,Arbor Heights,47.50509,-122.37824,Entire home/apt,185,4,33,2019-07-22,0.37,1,363
356248,Seattle 2 BR w Lovely Water Views | BlueStarBnB,306615,Tara,Capitol Hill,Portage Bay,47.65005,-122.3211,Entire home/apt,199,3,23,2018-12-31,0.65,3,133
356608,St. John's Apt. 309 *Walkscore 99*,1787819,Bryce,Downtown,First Hill,47.61304,-122.32321,Entire home/apt,196,3,116,2019-08-15,1.32,6,333
365550,contemporary art loft downtown,1025723,Dirk & Jaq,Downtown,International District,47.59902,-122.32708,Private room,125,3,721,2019-08-04,8.00,2,88
368403,Large Luxury Lakeside Seattle Home,4186078,Trung,Other neighborhoods,Green Lake,47.68354,-122.33091,Entire home/apt,450,4,32,2019-07-16,0.45,1,337
370361,Private Guest Studio- Phinney Ridge,1865986,Sheldon,Other neighborhoods,Greenwood,47.68348,-122.35705,Private room,85,3,212,2019-08-13,2.36,2,160
380950,4BR/2BA Craftsman Charmer w/ Stunning Sunset Views,287962,Ian,Other neighborhoods,Fremont,47.66623,-122.3607,Entire home/apt,400,1,25,2017-09-04,0.29,1,0
384797,6 room/10 bed/3 bath- Award Winning/ Walk Downtown,50893,Chris,Capitol Hill,Broadway,47.6257,-122.32095,Entire home/apt,499,3,48,2019-04-04,0.54,3,160
387078,Modern on Capitol Hill. LOCATION!,1121532,Kellie,Capitol Hill,Broadway,47.62178,-122.32379,Entire home/apt,119,1,150,2019-07-28,1.85,7,273
387464,Backyard Studio Apartment near UW,1938802,Jason And Susy,Other neighborhoods,Ravenna,47.67675,-122.29397,Entire home/apt,93,2,214,2019-04-28,2.38,1,283
392140,Fantastic View-Close to Light Rail-Solar Powered!,3313235,Leslie,Beacon Hill,North Beacon Hill,47.58513,-122.31526,Private room,72,2,251,2019-08-15,2.83,1,346
392779,2/1 Plush Modern Hilltop Retreat,437055,Jyoti And Tushar,Beacon Hill,North Beacon Hill,47.57577,-122.31636,Entire home/apt,112,3,131,2019-04-29,1.49,1,161
408526,Chic 3 bed 4 bath Ballard townhome,2034501,Vivian,Ballard,Adams,47.67553,-122.37632,Entire home/apt,218,14,0,,,2,365
413733,Chill Central District 2BR,2057654,Michele & Ryan,Central Area,Madrona,47.60907,-122.29613,Entire home/apt,269,2,163,2019-08-10,3.25,2,106
421168,Greenwood Studio,2094547,Samantha & Peter,Other neighborhoods,Greenwood,47.69922,-122.35072,Private room,71,1,332,2018-08-02,3.83,1,0
430609,"Fresh & hip. 3br/2.5ba deck, A/C, walk to all.",165390,Seth,Other neighborhoods,Fremont,47.65925,-122.34831,Entire home/apt,225,21,46,2018-08-26,0.82,5,191
430610,"modern,super roof deck, garage,88 walkscore!",165390,Seth,Other neighborhoods,Wallingford,47.6541,-122.33851,Entire home/apt,259,5,96,2019-07-18,1.12,5,151
433842,Green Lake Place,2088654,Steve,Other neighborhoods,Green Lake,47.68528,-122.34316,Entire home/apt,85,2,19,2019-03-03,1.31,1,0
443942,Stunning downtown flat top floor with internet,64955,Beb,Downtown,Belltown,47.61583,-122.34078,Entire home/apt,125,1,33,2018-05-14,0.48,1,365
445199,The Chandelier Room,2211872,Eliza,Delridge,North Delridge,47.56966,-122.36171,Private room,80,2,96,2017-08-13,1.10,1,77
447523,Bedroom in artistic Northwest home,2222321,Deb,Other neighborhoods,Wedgwood,47.68523,-122.28943,Private room,50,1,188,2019-07-26,2.16,4,303
