id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
2318,Casa Madrona - Urban Oasis 1 block from the park!,2536,Megan,Central Area,Madrona,47.61082,-122.29082,Entire home/apt,296,4,26,2019-05-31,0.20,2,306
5682,"Cozy Studio, min. to downtown -WiFi",8993,Maddy,Delridge,South Delridge,47.52398,-122.35989,Entire home/apt,48,3,462,2018-11-24,4.11,1,0
6606,"Fab, private seattle urban cottage!",14942,Joyce,Other neighborhoods,Wallingford,47.65411,-122.33761,Entire home/apt,90,2,136,2019-03-20,1.13,3,126
9419,Glorious sun room w/ memory foambed,30559,Angielena,Other neighborhoods,Georgetown,47.55062,-122.32014,Private room,62,2,134,2019-05-10,1.24,7,346
9460,Downtown Convention Center B&B -- Free Minibar,30832,Siena,Downtown,First Hill,47.60801,-122.32874,Private room,79,3,425,2019-05-26,3.57,4,109
9531,The Adorable Sweet Orange Craftsman,31481,Cassie,West Seattle,Fairmount Park,47.55539,-122.38474,Entire home/apt,165,2,36,2019-01-01,0.40,2,295
9534,The Coolest Tangerine Dream MIL! ,31481,Cassie,West Seattle,Fairmount Park,47.55624,-122.38598,Entire home/apt,125,2,41,2019-06-01,0.45,2,287
9596,"the down home , spacious, central and fab!",14942,Joyce,Other neighborhoods,Wallingford,47.65479,-122.33652,Entire home/apt,120,2,78,2019-06-04,0.80,3,138
9909,Luna Park House - West Seattle,33360,Laura,West Seattle,Fairmount Park,47.56521,-122.37375,Entire home/apt,125,3,67,2019-05-27,0.57,7,285
10209,Stay here for a blast!!!!,31553,Mike & Cassandra,Delridge,High Point,47.55365,-122.36326,Private room,50,5,38,2019-05-16,0.33,2,285
11012,"the orange house, quiet 'n central",14942,Joyce,Other neighborhoods,Wallingford,47.65448,-122.33646,Entire home/apt,299,2,83,2019-06-02,0.73,3,149
14386,Quiet Cozy Upstairs BR Green Lake,39377,Bob,Other neighborhoods,Green Lake,47.68725,-122.3347,Private room,40,1,138,2019-05-20,1.28,3,258
