id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
2318,Casa Madrona - Urban Oasis 1 block from the park!,2536,Megan,Central Area,Madrona,47.61082,-122.29082,Entire home/apt,296,5,22,2019-03-02,0.17,1,340
4291,Sunrise in Seattle Master Suite,35749,Jess & Joey,Other neighborhoods,Roosevelt,47.6878,-122.31343,Private room,82,2,63,2018-10-06,0.91,5,222
5682,"Cozy Studio, min. to downtown -WiFi",8993,Maddy,Delridge,South Delridge,47.52398,-122.35989,Entire home/apt,48,3,462,2018-11-24,4.23,1,0
6606,"Fab, private seattle urban cottage!",14942,Joyce,Other neighborhoods,Wallingford,47.65411,-122.33761,Entire home/apt,90,2,134,2018-10-21,1.14,3,308
9419,Glorious sun room w/ memory foambed,30559,Angielena,Other neighborhoods,Georgetown,47.55062,-122.32014,Private room,62,2,132,2019-02-24,1.26,8,346
9460,Downtown Convention Center B&B -- Free Minibar,30832,Siena,Downtown,First Hill,47.60801,-122.32874,Private room,79,3,411,2019-03-01,3.54,4,172
9531,The Adorable Sweet Orange Craftsman,31481,Cassie,West Seattle,Fairmount Park,47.55539,-122.38474,Entire home/apt,165,2,36,2019-01-01,0.41,2,192
9534,The Coolest Tangerine Dream MIL! ,31481,Cassie,West Seattle,Fairmount Park,47.55624,-122.38598,Entire home/apt,125,2,36,2018-10-29,0.41,2,255
9596,"the down home , spacious, central and fab!",14942,Joyce,Other neighborhoods,Wallingford,47.65479,-122.33652,Entire home/apt,120,2,76,2018-10-01,0.81,3,142
9909,Luna Park House - West Seattle,33360,Laura,West Seattle,Fairmount Park,47.56521,-122.37375,Entire home/apt,125,3,58,2019-02-10,0.51,7,240
10209,Stay here for a blast!!!!,31553,Mike & Cassandra,Delridge,High Point,47.55365,-122.36326,Private room,50,5,36,2018-06-20,0.32,1,338
10385,Upscale Seattle Hotel Alternative ,35749,Jess & Joey,Northgate,Maple Leaf,47.69572,-122.31194,Private room,60,2,95,2019-02-23,0.83,5,219
10695,Private 2 Rooms & 1 Bath ,35749,Jess & Joey,Northgate,Maple Leaf,47.6972,-122.31348,Private room,109,2,20,2018-09-04,0.22,5,0
11012,"the orange house, quiet 'n central",14942,Joyce,Other neighborhoods,Wallingford,47.65448,-122.33646,Entire home/apt,299,2,80,2018-09-03,0.72,3,88
11411,Hotel Room & Bath Alternative,35749,Jess & Joey,Northgate,Maple Leaf,47.69574,-122.31316,Private room,60,2,73,2018-11-25,0.66,5,219
14386,Quiet Cozy Upstairs BR Green Lake,39377,Bob,Other neighborhoods,Green Lake,47.68725,-122.3347,Private room,40,1,127,2019-02-23,1.21,3,172
15108,Green Lake Private Ground Floor BR,39377,Bob,Other neighborhoods,Green Lake,47.68827,-122.33586,Private room,60,1,70,2018-10-26,0.75,3,161
15749,Green Lake guest room with active family,61636,Angela,Other neighborhoods,Green Lake,47.68407,-122.32649,Private room,32,25,18,2019-02-28,0.20,2,69
